product_id,mpn,brand,manufacturer,product_type,size,quantity,material
PROD-0538,576751,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,3.0,
PROD-0539,583161,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,3.0,
PROD-0540,566695,nan,Phillips Lighting,LED Light Bulbs,nan,3.0,
PROD-0541,577007,nan,Phillips Lighting,LED Light Bulbs,nan,nan,
PROD-0542,566653,nan,Phillips Lighting,LED Light Bulbs,nan,3.0,
PROD-0543,566679,nan,Phillips Lighting,LED Light Bulbs,nan,3.0,
PROD-0544,573311,nan,Phillips Lighting,LED Light Bulbs,nan,2.0,
PROD-0545,573394,nan,Phillips Lighting,LED Light Bulbs,nan,2.0,
PROD-0546,573329,nan,Phillips Lighting,Light Bulbs,nan,2.0,
PROD-0547,564930,nan,Phillips Lighting,Light Bulbs,nan,3.0,
PROD-0548,565000,nan,Phillips Lighting,LED Light Bulbs,nan,2.0,
PROD-0549,564922,nan,Phillips Lighting,LED Light Bulbs,nan,3.0,
PROD-0550,573295,nan,Phillips Lighting,LED Light Bulbs,nan,2.0,
PROD-0551,564914,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,2.0,
